S#,Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Hospital Names,Temperature(C),Temperature(F),Explosive Weight (max kg)
246,2/20/2010,6 Raby` al-awal 1431 A.H,Working Day,,9:30 AM,Mansehra,34.3333,73.2,KPK,Balakot police station,Police,High,Open,,Police,,,1,4,10,2,1.Manseehra District Headquarters Hospital,13.74,56.73,5
247,2/22/2010,8 Raby` al-awal 1431 A.H,Working Day,,4:20 AM,Swat,35.2227,72.4258,KPK,Mingora-Nishat Chowk,Security Forces,High,Open,attack on security forces vehicle,Military,,7,13,37,41,1,1.CMH Hospital 2.Seydo Hospital,11.66,52.99,
248,2/27/2010,13 Raby` al-awal 1431 A.H,Holiday,Eid Milad Un-Nabi,,Karak,33.1193,71.0951,KPK,Karak Police Station,Police,High,Open,,Police,,,4,23,24,2,District Headquarter Hospital Karak,11.69,53.04,250
249,3/5/2010,19 Raby` al-awal 1431 A.H,Working Day,,,Hangu,33.5351,71.0713,KPK,Tal parachinar road in the jurisdiction of dandore area of Hangu,Security Forces,Low,Open,,Civilian,Shia,12,14,30,35,1,1.CMH Tal Hospital 2.District Headquarters hospital hangu,12.35,54.23,12
250,3/8/2010,22 Raby` al-awal 1431 A.H,Working Day,,8:20 AM,Lahore,31.5451,74.3407,Punjab,(SIA ) office-model Town area,Office Building,High,Open,,Military,,13,14,80,100,1,1.Jinna Hospital 2.General Hosptal 3.shaikh zayed Hospital 4.Ittefaq Hospital,20.46,68.83,600
251,3/12/2010,26 Raby` al-awal 1431 A.H,Working Day,,12:45 PM,Lahore,31.5451,74.3407,Punjab,Lahore Cant R.A Bazar Stop,Military,High,Open,,Military,Sunni,43,57,90,100,2,Children Hospital,23.32,73.98,12
252,3/13/2010,27 Raby` al-awal 1431 A.H,Working Day,,9:15 AM,Swat,35.2227,72.4258,KPK,District court Checkpost,Police,High,Open,,Police,,14,17,52,60,1,1. Judical Complex,16.36,61.46,14
253,3/29/2010,13 Raby` al-THaany 1431 A.H.,Working Day,,,Tank,32.226,70.3761,KPK,office of Pro-govt tribal leader-Misbahhuddin mehsud,Government/Office,Medium,Closed,,Anti-Militants,Sunni,,2,,2,1,,16.64,61.95,
254,3/29/2010,13 Raby` al-THaany 1431 A.H.,Working Day,,,Bajaur Agency,34.8718,71.5249,FATA,Lagharai area in Bajaur,Security Forces,Low,Open,Leader of anti-militants lashkar,Anti-Militants,Sunni,,2,5,8,1,Agency headquarter hospital in Khar,19.45,67.01,
255,4/5/2010,20 Raby` al-THaany 1431 A.H.,Working Day,,,Peshawar,34.0043,71.5448,KPK,U.S. consulate peshwar,Foreigner,High,Open,,Foreigner,Christian,6,8,,0,1,,23.14,73.64,
